City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
274,Cockburn Town,TC,21.4612,-71.1419,75.88,70,0,19.73,clear sky
275,Kaitangata,NZ,-46.2817,169.8464,47.77,92,100,6.06,overcast clouds
276,Sao Felix Do Xingu,BR,-6.6447,-51.995,88.77,54,66,1.34,broken clouds
277,Sept-Iles,CA,50.2001,-66.3821,3.06,55,75,4.0,broken clouds
278,Yining,CN,29.0361,114.5636,37.36,87,4,1.61,clear sky
279,Kubachi,RU,42.086,47.6034,32.04,77,89,1.45,overcast clouds
280,Gafanha Da Nazare,PT,40.6362,-8.7134,57.29,76,100,10.87,overcast clouds
281,Sompeta,IN,18.9333,84.6,73.58,86,2,11.52,clear sky
282,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,25.39,63,75,13.42,broken clouds
283,The Valley,AI,18.217,-63.0578,82.26,73,40,13.8,scattered clouds
284,Natal,BR,-5.795,-35.2094,88.45,62,40,17.27,scattered clouds
285,Manadhoo,MV,5.7667,73.3833,81.79,70,31,10.45,scattered clouds
286,Taguatinga,BR,-12.3857,-46.5711,91.09,46,25,3.4,scattered clouds
287,Praia,CV,14.9215,-23.5087,84.74,32,0,18.41,clear sky
288,Namibe,AO,-15.1961,12.1522,76.55,63,86,12.84,overcast clouds
289,Coquimbo,CL,-29.9533,-71.3436,69.82,69,0,6.87,clear sky
290,Hasaki,JP,35.7333,140.8333,30.6,82,99,8.32,overcast clouds
291,Port Keats,AU,-14.25,129.55,80.26,84,100,5.19,overcast clouds
292,Marzuq,YE,14.4,46.4667,68.7,38,22,7.4,few clouds
293,Quatre Cocos,MU,-20.2078,57.7625,80.1,86,100,16.26,light rain
294,Havre-Saint-Pierre,CA,50.2334,-63.5986,3.79,59,75,18.41,broken clouds
295,Chakrata,IN,30.7,77.85,31.24,94,90,3.27,overcast clouds
296,Sioux Lookout,CA,50.1001,-91.917,-18.02,76,0,2.3,clear sky
297,Rocha,UY,-34.4833,-54.3333,79.74,67,55,12.48,broken clouds
298,Kiama,AU,-34.6833,150.8667,66.0,82,69,3.0,moderate rain
299,Bandarbeyla,SO,9.4942,50.8122,76.15,61,2,11.61,clear sky
300,Chumphon,TH,10.3333,98.8333,71.04,88,4,3.22,clear sky
301,Mananjary,MG,-21.2167,48.3333,77.16,91,100,17.98,moderate rain
302,Myitkyina,MM,25.3833,97.4,59.2,68,80,2.73,broken clouds
303,Bibiani,GH,6.4635,-2.3194,97.21,24,20,1.97,few clouds
304,Verkhnevilyuysk,RU,63.4453,120.3167,-20.47,99,76,2.59,broken clouds
305,Byron Bay,AU,-28.65,153.6167,71.49,60,100,20.85,overcast clouds
306,Gariaband,IN,20.635,82.0614,67.55,30,0,3.56,clear sky
307,Fare,PF,-16.7,-151.0167,79.81,76,14,13.06,light rain
308,Aanekoski,FI,62.6946,25.818,23.07,100,100,16.89,light snow
309,Bredasdorp,ZA,-34.5322,20.0403,71.28,46,40,14.97,scattered clouds
310,Lazaro Cardenas,MX,17.9583,-102.2,77.23,60,1,1.9,clear sky
311,Sitka,US,57.0531,-135.33,42.69,87,100,11.5,mist
312,Kerchevskiy,RU,59.946,56.2884,7.83,98,100,3.2,overcast clouds
313,Malanje,AO,-9.5402,16.341,71.82,83,87,3.98,light rain
314,Soyo,AO,-6.1349,12.3689,84.25,66,94,9.37,overcast clouds
315,Berlevag,NO,70.8578,29.0864,13.95,73,20,2.3,few clouds
316,Lubbock,US,33.6001,-101.8338,16.38,71,0,6.91,clear sky
317,Teya,RU,60.3778,92.6267,16.9,90,100,9.69,overcast clouds
318,Dikson,RU,73.5069,80.5464,-2.06,89,100,5.53,overcast clouds
319,Carauari,BR,-4.8828,-66.8958,74.1,94,100,2.75,overcast clouds
320,Los Llanos De Aridane,ES,28.6585,-17.9182,68.13,66,20,3.0,few clouds
321,Slavkov U Brna,CZ,49.1533,16.8765,45.52,79,75,4.61,broken clouds
322,Abbeville,FR,50.1,1.8333,44.94,76,85,15.97,overcast clouds
323,Salinas,US,36.6777,-121.6555,53.38,61,0,5.75,clear sky
324,Gornyy,RU,55.1153,83.9059,11.79,90,100,11.59,overcast clouds
325,Fortuna,US,40.5982,-124.1573,44.65,95,100,1.01,overcast clouds
326,Saint Andrews,US,34.0454,-81.1293,68.0,80,100,11.5,mist
327,Cabo San Lucas,MX,22.8909,-109.9124,67.51,55,0,4.76,clear sky
328,Novopetrovskoye,RU,55.9928,36.4719,22.21,99,98,3.02,light snow
329,Sangar,RU,63.9242,127.4739,-34.83,100,91,1.79,overcast clouds
330,Lagos,NG,6.5833,3.75,93.52,46,11,10.27,few clouds
331,Aguia Branca,BR,-18.9831,-40.7403,83.19,70,100,5.7,overcast clouds
332,Darnah,LY,32.767,22.6367,54.21,61,14,17.78,few clouds
333,Olinda,BR,-8.0089,-34.8553,87.53,58,40,9.22,scattered clouds
334,Rajanpur,PK,29.1035,70.325,61.99,25,0,5.26,clear sky
335,Samana,DO,19.2056,-69.3369,76.96,83,75,4.61,broken clouds
336,Ust-Barguzin,RU,53.45,108.9833,0.19,98,100,2.62,overcast clouds
337,Majene,ID,-3.5403,118.9707,78.51,83,100,6.82,overcast clouds
338,Big Spring,US,32.2504,-101.4787,21.27,73,0,4.0,clear sky
